model,dataset,run,situation_id,subset_type,source_stakes,probability_format,num_options,option_type,parsed,cooperate,is_best_cara,is_best_linear,expected_value,max_expected_value,ev_fraction_of_best,ev_regret,parser_strategy,finish_reason,num_tokens_generated
llama,medium_stakes_validation,baseline,0,rebels_only,,verbal,2,Rebel,1,0,True,True,96905.0,96905.0,1.0,0.0,decision_verb,stop,144
llama,medium_stakes_validation,baseline,1,rebels_only,,verbal,2,Cooperate,1,1,True,False,34300.0,55100.0,0.6225045372050817,20800.0,option_is_best,stop,423
llama,medium_stakes_validation,baseline,2,rebels_only,,numerical,2,Rebel,1,0,False,True,678800.0,678800.0,1.0,0.0,decision_verb,stop,208
llama,medium_stakes_validation,baseline,3,rebels_only,,numerical,2,Rebel,1,0,False,True,35422.3,35422.3,1.0,0.0,expected_value_dominance,stop,257
llama,medium_stakes_validation,baseline,4,rebels_only,,verbal,5,Rebel,1,0,False,True,106327.15,106327.15,1.0,0.0,decision_verb,stop,406
llama,medium_stakes_validation,baseline,5,rebels_only,,verbal,5,Cooperate,1,1,True,False,3107.0615,29955.0,0.10372430312134868,26847.9385,option_is_best,stop,424
llama,medium_stakes_validation,baseline,6,rebels_only,,numerical,2,Rebel,1,0,False,True,43003.2,43003.2,1.0,0.0,option_is_best,stop,373
llama,medium_stakes_validation,baseline,7,rebels_only,,numerical,3,Rebel,1,0,False,True,119550.0,119550.0,1.0,0.0,decision_verb,stop,257
llama,medium_stakes_validation,baseline,8,rebels_only,,verbal,5,Rebel,1,0,False,True,279400.0,279400.0,1.0,0.0,best_choice_is,stop,644
llama,medium_stakes_validation,baseline,9,rebels_only,,numerical,2,Rebel,1,0,False,True,313769.73000000004,313769.73000000004,1.0,0.0,decision_verb,stop,856
llama,medium_stakes_validation,baseline,10,rebels_only,,verbal,3,Rebel,1,0,False,True,89322.1,89322.1,1.0,0.0,decision_verb,stop,416
llama,medium_stakes_validation,baseline,11,rebels_only,,verbal,3,Cooperate,1,1,False,False,-26752.1,53052.5,-0.5042571038122614,79804.6,short_answer_line,stop,572
llama,medium_stakes_validation,baseline,12,rebels_only,,verbal,3,Rebel,1,0,False,True,129100.0,129100.0,1.0,0.0,expected_value_dominance,stop,325
llama,medium_stakes_validation,baseline,13,rebels_only,,verbal,2,Rebel,1,0,True,True,98100.0,98100.0,1.0,0.0,decision_verb,stop,167
llama,medium_stakes_validation,baseline,14,rebels_only,,verbal,2,Cooperate,1,1,True,False,-1433.5,126780.0,-0.011306988483988012,128213.5,decision_verb,stop,282
llama,medium_stakes_validation,baseline,15,rebels_only,,numerical,2,Rebel,1,0,False,True,365932.0,365932.0,1.0,0.0,option_is_best,stop,214
llama,medium_stakes_validation,baseline,16,rebels_only,,numerical,2,Rebel,1,0,False,True,51558.229999999996,51558.229999999996,1.0,0.0,decision_verb,stop,264
llama,medium_stakes_validation,baseline,17,rebels_only,,verbal,2,Rebel,1,0,False,True,325668.1,325668.1,1.0,0.0,decision_verb,stop,290
llama,medium_stakes_validation,baseline,18,rebels_only,,verbal,2,Rebel,1,0,False,True,204885.45,204885.45,1.0,0.0,option_is_best,stop,423
llama,medium_stakes_validation,baseline,19,rebels_only,,numerical,4,Rebel,1,0,False,True,69178.5,69178.5,1.0,0.0,decision_verb,stop,279
llama,medium_stakes_validation,baseline,20,rebels_only,,numerical,4,Rebel,1,0,False,True,133560.0,133560.0,1.0,0.0,option_is_best,stop,212
llama,medium_stakes_validation,baseline,21,rebels_only,,verbal,2,Cooperate,1,1,True,False,17253.729,54287.5,0.3178213953488372,37033.771,decision_verb,stop,214
llama,medium_stakes_validation,baseline,22,rebels_only,,numerical,2,Rebel,1,0,False,True,-71919.0,-71919.0,1.0,0.0,best_choice_is,stop,340
llama,medium_stakes_validation,baseline,23,rebels_only,,numerical,2,Rebel,1,0,False,True,615800.0,615800.0,1.0,0.0,decision_verb,stop,169
llama,medium_stakes_validation,baseline,24,rebels_only,,numerical,3,Rebel,1,0,False,True,181567.4,181567.4,1.0,0.0,option_is_best,stop,252
llama,medium_stakes_validation,baseline,25,rebels_only,,numerical,2,Rebel,1,0,False,True,427499.99999999994,427499.99999999994,1.0,0.0,decision_verb,stop,148
llama,medium_stakes_validation,baseline,26,rebels_only,,verbal,5,Cooperate,1,1,True,False,17503.65,188100.0,0.09305502392344499,170596.35,option_is_best,stop,688
llama,medium_stakes_validation,baseline,27,rebels_only,,numerical,2,Rebel,1,0,False,True,-54336.79999999999,-54336.79999999999,1.0,0.0,decision_verb,stop,299
llama,medium_stakes_validation,baseline,28,rebels_only,,numerical,4,Rebel,1,0,False,True,193218.6,193218.6,1.0,0.0,decision_verb,stop,321
llama,medium_stakes_validation,baseline,29,rebels_only,,numerical,2,Rebel,1,0,False,True,309386.3,309386.3,1.0,0.0,decision_verb,stop,217
llama,medium_stakes_validation,baseline,30,rebels_only,,verbal,2,Cooperate,1,1,True,False,-4723.7,16980.0,-0.27819199057714955,21703.7,decision_verb,stop,307
llama,medium_stakes_validation,baseline,31,rebels_only,,verbal,5,Cooperate,1,1,True,False,3320.0300000000007,495567.51999999996,0.006699450359458588,492247.48999999993,option_is_best,stop,424
llama,medium_stakes_validation,baseline,32,rebels_only,,numerical,2,Rebel,1,0,False,True,16750.000000000007,16750.000000000007,1.0,0.0,decision_verb,stop,181
llama,medium_stakes_validation,baseline,33,rebels_only,,numerical,2,Rebel,1,0,False,True,4224.0,4224.0,1.0,0.0,expected_value_dominance,stop,200
llama,medium_stakes_validation,baseline,34,rebels_only,,numerical,3,Rebel,1,0,False,True,191543.637,191543.637,1.0,0.0,expected_value_dominance,stop,307
llama,medium_stakes_validation,baseline,35,rebels_only,,numerical,2,Rebel,1,0,False,True,49241.080000000016,49241.080000000016,1.0,0.0,expected_value_dominance,stop,185
llama,medium_stakes_validation,baseline,36,rebels_only,,numerical,2,Rebel,1,0,False,True,109910.0,109910.0,1.0,0.0,option_is_best,stop,233
llama,medium_stakes_validation,baseline,37,rebels_only,,numerical,2,Rebel,1,0,False,True,185941.0,185941.0,1.0,0.0,decision_verb,stop,199
llama,medium_stakes_validation,baseline,38,rebels_only,,numerical,2,Rebel,1,0,False,True,11469.136000000002,11469.136000000002,1.0,0.0,expected_value_dominance,stop,209
llama,medium_stakes_validation,baseline,39,rebels_only,,numerical,2,Rebel,1,0,False,True,1599.6000000000001,1599.6000000000001,1.0,0.0,option_is_best,stop,199
llama,medium_stakes_validation,baseline,40,rebels_only,,numerical,2,Rebel,1,0,False,True,-37339.5,-37339.5,1.0,0.0,expected_value_dominance,stop,243
llama,medium_stakes_validation,baseline,41,rebels_only,,numerical,2,Rebel,1,0,False,True,-2088.0,-2088.0,1.0,0.0,option_is_best,stop,306
llama,medium_stakes_validation,baseline,42,rebels_only,,numerical,2,Rebel,1,0,False,True,275854.1,275854.1,1.0,0.0,option_is_best,stop,165
llama,medium_stakes_validation,baseline,43,rebels_only,,verbal,2,Rebel,1,0,False,True,157930.0,157930.0,1.0,0.0,decision_verb,stop,262
llama,medium_stakes_validation,baseline,44,rebels_only,,numerical,2,Rebel,1,0,False,True,523265.76,523265.76,1.0,0.0,expected_value_dominance,stop,197
llama,medium_stakes_validation,baseline,45,rebels_only,,verbal,2,Rebel,1,0,True,True,224800.0,224800.0,1.0,0.0,decision_verb,stop,269
llama,medium_stakes_validation,baseline,46,rebels_only,,verbal,2,Rebel,1,0,False,True,22900.0,22900.0,1.0,0.0,decision_verb,stop,374
llama,medium_stakes_validation,baseline,47,rebels_only,,verbal,2,Rebel,1,0,False,True,426909.2,426909.2,1.0,0.0,expected_value_dominance,stop,290
llama,medium_stakes_validation,baseline,48,rebels_only,,numerical,2,Rebel,1,0,False,True,564341.8,564341.8,1.0,0.0,expected_value_dominance,stop,199
llama,medium_stakes_validation,baseline,49,rebels_only,,numerical,2,Rebel,1,0,False,True,100180.0,100180.0,1.0,0.0,decision_verb,stop,196
llama,medium_stakes_validation,baseline,50,rebels_only,,verbal,4,Cooperate,1,1,True,False,-3291.8,246300.0,-0.013365002030044662,249591.8,decision_verb,stop,382
llama,medium_stakes_validation,baseline,51,rebels_only,,verbal,2,Rebel,1,0,False,True,14276.8,14276.8,1.0,0.0,answer_marker,stop,242
llama,medium_stakes_validation,baseline,52,rebels_only,,verbal,2,Rebel,1,0,False,False,16984.36,31131.0,0.5455770775111626,14146.64,decision_verb,stop,359
llama,medium_stakes_validation,baseline,53,rebels_only,,verbal,2,Rebel,1,0,False,True,458808.0,458808.0,1.0,0.0,expected_value_dominance,stop,397
llama,medium_stakes_validation,baseline,54,rebels_only,,verbal,4,Rebel,1,0,True,True,30265.0,30265.0,1.0,0.0,decision_verb,stop,487
llama,medium_stakes_validation,baseline,55,rebels_only,,numerical,2,Rebel,1,0,False,True,157946.0,157946.0,1.0,0.0,decision_verb,stop,183
llama,medium_stakes_validation,baseline,56,rebels_only,,numerical,4,Rebel,1,0,False,True,902316.0,902316.0,1.0,0.0,option_is_best,stop,246
llama,medium_stakes_validation,baseline,57,rebels_only,,numerical,2,Rebel,1,0,False,True,19899.82,19899.82,1.0,0.0,option_is_best,stop,171
llama,medium_stakes_validation,baseline,58,rebels_only,,verbal,2,Rebel,1,0,False,True,137285.0,137285.0,1.0,0.0,best_choice_is,stop,252
llama,medium_stakes_validation,baseline,59,rebels_only,,verbal,3,Rebel,1,0,False,False,64473.0,100053.0,0.6443884741087224,35580.0,decision_verb,stop,411
llama,medium_stakes_validation,baseline,60,rebels_only,,numerical,3,Rebel,1,0,False,True,74400.0,74400.0,1.0,0.0,option_is_best,stop,233
llama,medium_stakes_validation,baseline,61,rebels_only,,verbal,2,Rebel,1,0,False,True,48112.049999999996,48112.049999999996,1.0,0.0,option_is_best,stop,319
llama,medium_stakes_validation,baseline,62,rebels_only,,verbal,2,Rebel,1,0,False,True,1120.0,1120.0,1.0,0.0,decision_verb,stop,455
llama,medium_stakes_validation,baseline,63,rebels_only,,verbal,3,Rebel,1,0,False,True,37633.855,37633.855,1.0,0.0,decision_verb,stop,282
llama,medium_stakes_validation,baseline,64,rebels_only,,verbal,3,Rebel,1,0,True,True,274230.0,274230.0,1.0,0.0,option_is_best,stop,313
llama,medium_stakes_validation,baseline,65,rebels_only,,verbal,2,Rebel,1,0,False,True,78800.0,78800.0,1.0,0.0,decision_verb,stop,245
llama,medium_stakes_validation,baseline,66,rebels_only,,verbal,2,Rebel,1,0,False,True,-3607.699999999999,-3607.699999999999,1.0,0.0,best_choice_is,stop,327
llama,medium_stakes_validation,baseline,67,rebels_only,,verbal,2,Cooperate,1,1,True,False,-9544.65,13012.0,-0.7335267445434983,22556.65,option_is_best,stop,433
llama,medium_stakes_validation,baseline,68,rebels_only,,verbal,2,Rebel,1,0,False,True,-46757.1,-46757.1,1.0,0.0,option_is_best,stop,291
llama,medium_stakes_validation,baseline,69,rebels_only,,verbal,2,Rebel,1,0,False,True,-55750.0,-55750.0,1.0,0.0,decision_verb,stop,340
llama,medium_stakes_validation,baseline,70,rebels_only,,verbal,2,Cooperate,1,1,True,False,-39103.69,152075.0,-0.25713424297221765,191178.69,option_is_best,stop,398
llama,medium_stakes_validation,baseline,71,rebels_only,,numerical,2,Rebel,1,0,False,True,177496.6,177496.6,1.0,0.0,decision_verb,stop,364
