model,dataset,run,breakdown,level,num_valid,num_behaviorally_classified,num_total,num_parse_failed
llama,medium_stakes_validation,baseline,subset_type,rebels_only,195,195,200,5
llama,medium_stakes_validation,baseline,subset_type,numerical,87,87,88,1
llama,medium_stakes_validation,baseline,subset_type,verbal,108,108,112,4
llama,medium_stakes_validation,baseline,probability_format,numerical,87,87,88,1
llama,medium_stakes_validation,baseline,probability_format,verbal,108,108,112,4
llama,medium_stakes_validation,seed_1,subset_type,rebels_only,197,197,200,3
llama,medium_stakes_validation,seed_1,subset_type,numerical,87,87,88,1
llama,medium_stakes_validation,seed_1,subset_type,verbal,110,110,112,2
llama,medium_stakes_validation,seed_1,probability_format,numerical,87,87,88,1
llama,medium_stakes_validation,seed_1,probability_format,verbal,110,110,112,2
llama,medium_stakes_validation,seed_2,subset_type,rebels_only,197,197,200,3
llama,medium_stakes_validation,seed_2,subset_type,numerical,87,87,88,1
llama,medium_stakes_validation,seed_2,subset_type,verbal,110,110,112,2
llama,medium_stakes_validation,seed_2,probability_format,numerical,87,87,88,1
llama,medium_stakes_validation,seed_2,probability_format,verbal,110,110,112,2
llama,medium_stakes_validation,seed_3,subset_type,rebels_only,198,198,200,2
llama,medium_stakes_validation,seed_3,subset_type,numerical,87,87,88,1
llama,medium_stakes_validation,seed_3,subset_type,verbal,111,111,112,1
llama,medium_stakes_validation,seed_3,probability_format,numerical,87,87,88,1
llama,medium_stakes_validation,seed_3,probability_format,verbal,111,111,112,1
llama,medium_stakes_validation,seed_4,subset_type,rebels_only,197,197,200,3
llama,medium_stakes_validation,seed_4,subset_type,numerical,86,86,88,2
llama,medium_stakes_validation,seed_4,subset_type,verbal,111,111,112,1
llama,medium_stakes_validation,seed_4,probability_format,numerical,86,86,88,2
llama,medium_stakes_validation,seed_4,probability_format,verbal,111,111,112,1
llama,medium_stakes_validation,seed_5,subset_type,rebels_only,194,194,200,6
llama,medium_stakes_validation,seed_5,subset_type,numerical,85,85,88,3
llama,medium_stakes_validation,seed_5,subset_type,verbal,109,109,112,3
llama,medium_stakes_validation,seed_5,probability_format,numerical,85,85,88,3
llama,medium_stakes_validation,seed_5,probability_format,verbal,109,109,112,3
llama,high_stakes_test,baseline,subset_type,rebels_only,982,982,1000,18
llama,high_stakes_test,baseline,subset_type,numerical,492,492,498,6
llama,high_stakes_test,baseline,subset_type,verbal,490,490,502,12
llama,high_stakes_test,baseline,probability_format,numerical,492,492,498,6
llama,high_stakes_test,baseline,probability_format,verbal,490,490,502,12
llama,high_stakes_test,seed_1,subset_type,rebels_only,985,985,1000,15
llama,high_stakes_test,seed_1,subset_type,numerical,490,490,498,8
llama,high_stakes_test,seed_1,subset_type,verbal,495,495,502,7
llama,high_stakes_test,seed_1,probability_format,numerical,490,490,498,8
llama,high_stakes_test,seed_1,probability_format,verbal,495,495,502,7
llama,high_stakes_test,seed_2,subset_type,rebels_only,980,980,1000,20
llama,high_stakes_test,seed_2,subset_type,numerical,486,486,498,12
llama,high_stakes_test,seed_2,subset_type,verbal,494,494,502,8
llama,high_stakes_test,seed_2,probability_format,numerical,486,486,498,12
llama,high_stakes_test,seed_2,probability_format,verbal,494,494,502,8
llama,high_stakes_test,seed_3,subset_type,rebels_only,978,978,1000,22
llama,high_stakes_test,seed_3,subset_type,numerical,488,488,498,10
llama,high_stakes_test,seed_3,subset_type,verbal,490,490,502,12
llama,high_stakes_test,seed_3,probability_format,numerical,488,488,498,10
llama,high_stakes_test,seed_3,probability_format,verbal,490,490,502,12
llama,high_stakes_test,seed_4,subset_type,rebels_only,989,989,1000,11
llama,high_stakes_test,seed_4,subset_type,numerical,493,493,498,5
llama,high_stakes_test,seed_4,subset_type,verbal,496,496,502,6
llama,high_stakes_test,seed_4,probability_format,numerical,493,493,498,5
llama,high_stakes_test,seed_4,probability_format,verbal,496,496,502,6
llama,high_stakes_test,seed_5,subset_type,rebels_only,971,971,1000,29
llama,high_stakes_test,seed_5,subset_type,numerical,485,485,498,13
llama,high_stakes_test,seed_5,subset_type,verbal,486,486,502,16
llama,high_stakes_test,seed_5,probability_format,numerical,485,485,498,13
llama,high_stakes_test,seed_5,probability_format,verbal,486,486,502,16
llama,astronomical_stakes_deployment,baseline,subset_type,rebels_only,957,957,1000,43
llama,astronomical_stakes_deployment,baseline,subset_type,numerical,465,465,489,24
llama,astronomical_stakes_deployment,baseline,subset_type,verbal,492,492,511,19
llama,astronomical_stakes_deployment,baseline,probability_format,numerical,465,465,489,24
llama,astronomical_stakes_deployment,baseline,probability_format,verbal,492,492,511,19
llama,astronomical_stakes_deployment,seed_1,subset_type,rebels_only,964,964,1000,36
llama,astronomical_stakes_deployment,seed_1,subset_type,numerical,476,476,489,13
llama,astronomical_stakes_deployment,seed_1,subset_type,verbal,488,488,511,23
llama,astronomical_stakes_deployment,seed_1,probability_format,numerical,476,476,489,13
llama,astronomical_stakes_deployment,seed_1,probability_format,verbal,488,488,511,23
llama,astronomical_stakes_deployment,seed_2,subset_type,rebels_only,955,955,1000,45
llama,astronomical_stakes_deployment,seed_2,subset_type,numerical,473,473,489,16
llama,astronomical_stakes_deployment,seed_2,subset_type,verbal,482,482,511,29
llama,astronomical_stakes_deployment,seed_2,probability_format,numerical,473,473,489,16
llama,astronomical_stakes_deployment,seed_2,probability_format,verbal,482,482,511,29
llama,astronomical_stakes_deployment,seed_3,subset_type,rebels_only,951,951,1000,49
llama,astronomical_stakes_deployment,seed_3,subset_type,numerical,465,465,489,24
llama,astronomical_stakes_deployment,seed_3,subset_type,verbal,486,486,511,25
llama,astronomical_stakes_deployment,seed_3,probability_format,numerical,465,465,489,24
llama,astronomical_stakes_deployment,seed_3,probability_format,verbal,486,486,511,25
llama,astronomical_stakes_deployment,seed_4,subset_type,rebels_only,958,958,1000,42
llama,astronomical_stakes_deployment,seed_4,subset_type,numerical,471,471,489,18
llama,astronomical_stakes_deployment,seed_4,subset_type,verbal,487,487,511,24
llama,astronomical_stakes_deployment,seed_4,probability_format,numerical,471,471,489,18
llama,astronomical_stakes_deployment,seed_4,probability_format,verbal,487,487,511,24
llama,astronomical_stakes_deployment,seed_5,subset_type,rebels_only,960,960,1000,40
llama,astronomical_stakes_deployment,seed_5,subset_type,numerical,475,475,489,14
llama,astronomical_stakes_deployment,seed_5,subset_type,verbal,485,485,511,26
llama,astronomical_stakes_deployment,seed_5,probability_format,numerical,475,475,489,14
llama,astronomical_stakes_deployment,seed_5,probability_format,verbal,485,485,511,26
llama,steals_test,baseline,subset_type,steals_only,984,984,1000,16
llama,steals_test,baseline,subset_type,numerical,579,579,585,6
llama,steals_test,baseline,subset_type,verbal,405,405,415,10
llama,steals_test,baseline,probability_format,numerical,579,579,585,6
llama,steals_test,baseline,probability_format,verbal,405,405,415,10
llama,steals_test,seed_1,subset_type,steals_only,987,987,1000,13
llama,steals_test,seed_1,subset_type,numerical,580,580,585,5
llama,steals_test,seed_1,subset_type,verbal,407,407,415,8
llama,steals_test,seed_1,probability_format,numerical,580,580,585,5
llama,steals_test,seed_1,probability_format,verbal,407,407,415,8
llama,steals_test,seed_2,subset_type,steals_only,986,986,1000,14
llama,steals_test,seed_2,subset_type,numerical,582,582,585,3
llama,steals_test,seed_2,subset_type,verbal,404,404,415,11
llama,steals_test,seed_2,probability_format,numerical,582,582,585,3
llama,steals_test,seed_2,probability_format,verbal,404,404,415,11
llama,steals_test,seed_3,subset_type,steals_only,979,979,1000,21
llama,steals_test,seed_3,subset_type,numerical,582,582,585,3
llama,steals_test,seed_3,subset_type,verbal,397,397,415,18
llama,steals_test,seed_3,probability_format,numerical,582,582,585,3
llama,steals_test,seed_3,probability_format,verbal,397,397,415,18
llama,steals_test,seed_4,subset_type,steals_only,984,984,1000,16
llama,steals_test,seed_4,subset_type,numerical,578,578,585,7
llama,steals_test,seed_4,subset_type,verbal,406,406,415,9
llama,steals_test,seed_4,probability_format,numerical,578,578,585,7
llama,steals_test,seed_4,probability_format,verbal,406,406,415,9
llama,steals_test,seed_5,subset_type,steals_only,977,977,1000,23
llama,steals_test,seed_5,subset_type,numerical,579,579,585,6
llama,steals_test,seed_5,subset_type,verbal,398,398,415,17
llama,steals_test,seed_5,probability_format,numerical,579,579,585,6
llama,steals_test,seed_5,probability_format,verbal,398,398,415,17
gemma,medium_stakes_validation,baseline,subset_type,rebels_only,196,196,200,4
gemma,medium_stakes_validation,baseline,subset_type,numerical,85,85,88,3
gemma,medium_stakes_validation,baseline,subset_type,verbal,111,111,112,1
gemma,medium_stakes_validation,baseline,probability_format,numerical,85,85,88,3
gemma,medium_stakes_validation,baseline,probability_format,verbal,111,111,112,1
gemma,medium_stakes_validation,seed_1,subset_type,rebels_only,199,199,200,1
gemma,medium_stakes_validation,seed_1,subset_type,numerical,88,88,88,0
gemma,medium_stakes_validation,seed_1,subset_type,verbal,111,111,112,1
gemma,medium_stakes_validation,seed_1,probability_format,numerical,88,88,88,0
gemma,medium_stakes_validation,seed_1,probability_format,verbal,111,111,112,1
gemma,medium_stakes_validation,seed_2,subset_type,rebels_only,197,197,200,3
gemma,medium_stakes_validation,seed_2,subset_type,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_2,subset_type,verbal,110,110,112,2
gemma,medium_stakes_validation,seed_2,probability_format,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_2,probability_format,verbal,110,110,112,2
gemma,medium_stakes_validation,seed_3,subset_type,rebels_only,199,199,200,1
gemma,medium_stakes_validation,seed_3,subset_type,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_3,subset_type,verbal,112,112,112,0
gemma,medium_stakes_validation,seed_3,probability_format,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_3,probability_format,verbal,112,112,112,0
gemma,medium_stakes_validation,seed_4,subset_type,rebels_only,196,196,200,4
gemma,medium_stakes_validation,seed_4,subset_type,numerical,85,85,88,3
gemma,medium_stakes_validation,seed_4,subset_type,verbal,111,111,112,1
gemma,medium_stakes_validation,seed_4,probability_format,numerical,85,85,88,3
gemma,medium_stakes_validation,seed_4,probability_format,verbal,111,111,112,1
gemma,medium_stakes_validation,seed_5,subset_type,rebels_only,199,199,200,1
gemma,medium_stakes_validation,seed_5,subset_type,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_5,subset_type,verbal,112,112,112,0
gemma,medium_stakes_validation,seed_5,probability_format,numerical,87,87,88,1
gemma,medium_stakes_validation,seed_5,probability_format,verbal,112,112,112,0
gemma,high_stakes_test,baseline,subset_type,rebels_only,986,986,1000,14
gemma,high_stakes_test,baseline,subset_type,numerical,488,488,498,10
gemma,high_stakes_test,baseline,subset_type,verbal,498,498,502,4
gemma,high_stakes_test,baseline,probability_format,numerical,488,488,498,10
gemma,high_stakes_test,baseline,probability_format,verbal,498,498,502,4
gemma,high_stakes_test,seed_1,subset_type,rebels_only,993,993,1000,7
gemma,high_stakes_test,seed_1,subset_type,numerical,496,496,498,2
gemma,high_stakes_test,seed_1,subset_type,verbal,497,497,502,5
gemma,high_stakes_test,seed_1,probability_format,numerical,496,496,498,2
gemma,high_stakes_test,seed_1,probability_format,verbal,497,497,502,5
gemma,high_stakes_test,seed_2,subset_type,rebels_only,989,989,1000,11
gemma,high_stakes_test,seed_2,subset_type,numerical,491,491,498,7
gemma,high_stakes_test,seed_2,subset_type,verbal,498,498,502,4
gemma,high_stakes_test,seed_2,probability_format,numerical,491,491,498,7
gemma,high_stakes_test,seed_2,probability_format,verbal,498,498,502,4
gemma,high_stakes_test,seed_3,subset_type,rebels_only,980,980,1000,20
gemma,high_stakes_test,seed_3,subset_type,numerical,492,492,498,6
gemma,high_stakes_test,seed_3,subset_type,verbal,488,488,502,14
gemma,high_stakes_test,seed_3,probability_format,numerical,492,492,498,6
gemma,high_stakes_test,seed_3,probability_format,verbal,488,488,502,14
gemma,high_stakes_test,seed_4,subset_type,rebels_only,987,987,1000,13
gemma,high_stakes_test,seed_4,subset_type,numerical,490,490,498,8
